,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
13774,"Botulism, Wound",Orange,2008,Male,1,1477630,0.068,0.002,0.377
17921,Campylobacteriosis,Humboldt,2004,Female,12,65925,18.202,9.406,31.794
87895,Pertussis,California,2005,Female,1851,18088355,10.232999999999999,9.772,10.71
129924,Tularemia,Plumas,2014,Female,0,9866,0.0,0.0,37.383
14313,"Botulism, Wound",Santa Clara,2014,Male,0,938235,0.0,0.0,0.39299999999999996
11265,"Botulism, Other",Orange,2011,Male,0,1506897,0.0,0.0,0.245
7199,Babesiosis,Trinity,2001,Male,0,6636,0.0,0.0,55.573
68286,Legionellosis,Mendocino,2004,Female,0,44205,0.0,0.0,8.345
42766,E. coli O157,Marin,2012,Female,1,128952,0.775,0.02,4.321000000000001
123331,Toxic Shock Syndrome (Non-Streptococcal),Tehama,2009,Male,0,31425,0.0,0.0,11.738
338,Amebiasis,Del Norte,2001,Male,0,15165,0.0,0.0,24.322
1546,Amebiasis,San Bernardino,2012,Female,1,1037268,0.096,0.002,0.537
107789,Scombroid Fish Poisoning,San Mateo,2012,Female,0,374158,0.0,0.0,0.986
87661,Paralytic Shellfish Poisoning,Trinity,2011,Female,0,6574,0.0,0.0,56.097
115136,Staphylococcus aureus Infection (cases resulting in death or ICU),Del Norte,2013,Male,0,15747,0.0,0.0,23.423000000000002
18186,Campylobacteriosis,Lassen,2008,Male,0,22489,0.0,0.0,16.402
64538,Influenza Death (<65 years of age),Siskiyou,2013,Female,0,22709,0.0,0.0,16.243
30515,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Placer,2012,Female,0,184207,0.0,0.0,2.003
68081,Legionellosis,Los Angeles,2002,Female,7,4925059,0.142,0.057,0.293
41275,Diphtheria,Sierra,2003,Female,0,1750,0.0,0.0,210.571
102988,Rubella,Kings,2011,Male,0,85952,0.0,0.0,4.292
116825,Streptococcal Infection (cases in food and dairy workers),Kern,2005,Female,0,369284,0.0,0.0,0.9990000000000001
132156,"Typhoid Fever, case",Monterey,2003,Female,0,199426,0.0,0.0,1.85
98287,"Rabies, human",Humboldt,2004,Female,0,65925,0.0,0.0,5.595
5593,Babesiosis,Inyo,2014,Female,0,9144,0.0,0.0,40.334
47799,Early Syphilis,Santa Cruz,2004,Female,0,127676,0.0,0.0,2.889
98615,"Rabies, human",Madera,2001,Male,0,60630,0.0,0.0,6.084
7051,Babesiosis,Sonoma,2008,Female,0,242159,0.0,0.0,1.5230000000000001
7834,"Botulism, Foodborne",El Dorado,2003,Female,0,83875,0.0,0.0,4.398
16160,Brucellosis,Napa,2013,Male,0,69824,0.0,0.0,5.2829999999999995
52626,Gonorrhea,San Mateo,2001,Female,87,359709,24.186,19.373,29.833000000000002
94970,Psittacosis,Stanislaus,2004,Female,0,248433,0.0,0.0,1.485
103913,Salmonellosis,Colusa,2011,Female,0,10441,0.0,0.0,35.324
99726,"Rabies, human",Sierra,2014,Female,0,1537,0.0,0.0,239.717
60682,"Hepatitis E, acute infection",Imperial,2011,Female,0,86154,0.0,0.0,4.282
18177,Campylobacteriosis,Lassen,2005,Male,0,22033,0.0,0.0,16.741
76781,Listeriosis,Stanislaus,2012,Female,0,264121,0.0,0.0,1.3969999999999998
81036,Malaria,Sacramento,2010,Male,2,695577,0.28800000000000003,0.035,1.0390000000000001
31371,Cryptosporidiosis,Butte,2005,Female,2,108417,1.845,0.223,6.664
91624,"Plague, human",Napa,2009,Female,0,67950,0.0,0.0,5.428999999999999
68295,Legionellosis,Mendocino,2007,Female,0,43887,0.0,0.0,8.405
123174,Toxic Shock Syndrome (Non-Streptococcal),Solano,2013,Male,0,210911,0.0,0.0,1.749
23978,Cholera,San Joaquin,2004,Female,0,320359,0.0,0.0,1.151
67367,Legionellosis,Alpine,2002,Female,0,594,0.0,0.0,619.099
59929,"Hepatitis C, Acute",Glenn,2012,Female,0,14136,0.0,0.0,26.092
120491,Tetanus,Santa Clara,2008,Male,0,885106,0.0,0.0,0.41700000000000004
16793,Brucellosis,Santa Clara,2014,Male,0,938235,0.0,0.0,0.39299999999999996
28334,Coccidioidomycosis,Modoc,2006,Male,0,4876,0.0,0.0,75.625
19310,Campylobacteriosis,Shasta,2009,Male,10,86917,11.505,5.517,21.158
19878,Chlamydia,California,2002,Female,81583,17555714,464.709,461.533,467.902
95435,Q Fever,Alpine,2009,Male,0,610,0.0,0.0,602.909
86417,Paralytic Shellfish Poisoning,Mendocino,2013,Male,0,44323,0.0,0.0,8.322000000000001
